,Nama Produk,Harga Produk,Nama Toko,Rating Produk,Paling Populer
374,EQ Zed solid RXD ss STREET,299900,H&M,4.9,Paling Populer
345,LUCAS REG LINEN LS SHIRT,429900,H&M,4.9,Paling Populer
296,ELLIOT OVZ LS,499900,H&M,4.8,Paling Populer
